dose,agegroup,n,UF
(D1+D2) only,8,83637,ES
(D1+D2) only,9,27083,ES
(D1+D2) only,10,13543,ES
(D1+D2) only,11,3588,ES
(D1+D2+DU) only,1,0,ES
(D1+D2+DU) only,2,0,ES
(D1+D2+DU) only,3,1,ES
(D1+D2+DU) only,4,153,ES
(D1+D2+DU) only,5,282,ES
(D1+D2+DU) only,6,392,ES
(D1+D2+DU) only,7,457,ES
(D1+D2+DU) only,8,229,ES
(D1+D2+DU) only,9,69,ES
(D1+D2+DU) only,10,18,ES
(D1+D2+DU) only,11,3,ES
(D1+D2+R) only,1,0,ES
(D1+D2+R) only,2,2,ES
(D1+D2+R) only,3,157,ES
(D1+D2+R) only,4,74591,ES
(D1+D2+R) only,5,128327,ES
(D1+D2+R) only,6,173370,ES
(D1+D2+R) only,7,205632,ES
(D1+D2+R) only,8,248966,ES
(D1+D2+R) only,9,135207,ES
(D1+D2+R) only,10,52551,ES
(D1+D2+R) only,11,10235,ES
(D1+DU) only,1,0,ES
(D1+DU) only,2,0,ES
(D1+DU) only,3,6,ES
(D1+DU) only,4,47,ES
(D1+DU) only,5,487,ES
(D1+DU) only,6,260,ES
(D1+DU) only,7,44,ES
(D1+DU) only,8,17,ES
(D1+DU) only,9,1,ES
(D1+DU) only,10,1,ES
(D1+DU) only,11,2,ES
(D1+R) only,1,0,ES
(D1+R) only,2,0,ES
(D1+R) only,3,338,ES
(D1+R) only,4,1691,ES
(D1+R) only,5,2382,ES
(D1+R) only,6,2693,ES
(D1+R) only,7,3265,ES
(D1+R) only,8,4587,ES
(D1+R) only,9,2136,ES
(D1+R) only,10,1320,ES
(D1+R) only,11,241,ES
(D2+DU) only,1,0,ES
(D2+DU) only,2,0,ES
(D2+DU) only,3,1,ES
(D2+DU) only,4,84,ES
(D2+DU) only,5,927,ES
(D2+DU) only,6,514,ES
(D2+DU) only,7,47,ES
(D2+DU) only,8,12,ES
(D2+DU) only,9,0,ES
(D2+DU) only,10,6,ES
(D2+DU) only,11,0,ES
(D2+R+DU) only,1,0,ES
(D2+R+DU) only,2,0,ES
(D2+R+DU) only,3,0,ES
(D2+R+DU) only,4,0,ES
(D2+R+DU) only,5,13,ES
(D2+R+DU) only,6,9,ES
(D2+R+DU) only,7,1,ES
(D2+R+DU) only,8,0,ES
(D2+R+DU) only,9,5,ES
(D2+R+DU) only,10,17,ES
(D2+R+DU) only,11,0,ES
(R+DU) only,1,0,ES
(R+DU) only,2,0,ES
(R+DU) only,3,0,ES
(R+DU) only,4,1346,ES
(R+DU) only,5,31215,ES
(R+DU) only,6,16736,ES
(R+DU) only,7,1645,ES
(R+DU) only,8,171,ES
(R+DU) only,9,40,ES
(R+DU) only,10,11,ES
(R+DU) only,11,1,ES
D1 only,1,33,ES
D1 only,2,67781,ES
D1 only,3,91954,ES
D1 only,4,133602,ES
D1 only,5,74589,ES
D1 only,6,48304,ES
D1 only,7,28903,ES
D1 only,8,12059,ES
D1 only,9,4345,ES
D1 only,10,2742,ES
D1 only,11,704,ES
D1+D2+DU+R,1,0,ES
D1+D2+DU+R,2,0,ES
D1+D2+DU+R,3,0,ES
D1+D2+DU+R,4,2,ES
D1+D2+DU+R,5,11,ES
D1+D2+DU+R,6,3,ES
D1+D2+DU+R,7,2,ES
D1+D2+DU+R,8,3,ES
D1+D2+DU+R,9,3,ES
D1+D2+DU+R,10,4,ES
D1+D2+DU+R,11,1,ES
DU only,1,1,ES
DU only,2,1,ES
DU only,3,11,ES
DU only,4,1624,ES
DU only,5,26932,ES
DU only,6,18882,ES
DU only,7,3400,ES
DU only,8,484,ES
DU only,9,100,ES
DU only,10,39,ES
DU only,11,6,ES
R+DU,1,0,ES
R+DU,2,0,ES
R+DU,3,0,ES
R+DU,4,3,ES
R+DU,5,20,ES
R+DU,6,20,ES
R+DU,7,4,ES
R+DU,8,3,ES
R+DU,9,0,ES
R+DU,10,0,ES
R+DU,11,2,ES
(D1+D2) only,1,3,GO
(D1+D2) only,2,118,GO
(D1+D2) only,3,303980,GO
(D1+D2) only,4,861323,GO
(D1+D2) only,5,736585,GO
(D1+D2) only,6,599088,GO
(D1+D2) only,7,424622,GO
(D1+D2) only,8,194988,GO
(D1+D2) only,9,64753,GO
(D1+D2) only,10,29319,GO
(D1+D2) only,11,5943,GO
(D1+D2+DU) only,1,0,GO
(D1+D2+DU) only,2,0,GO
(D1+D2+DU) only,3,1,GO
(D1+D2+DU) only,4,11,GO
(D1+D2+DU) only,5,25,GO
(D1+D2+DU) only,6,41,GO
(D1+D2+DU) only,7,27,GO
(D1+D2+DU) only,8,14,GO
(D1+D2+DU) only,9,4,GO
(D1+D2+DU) only,10,0,GO
(D1+D2+DU) only,11,1,GO
(D1+D2+R) only,1,0,GO
(D1+D2+R) only,2,0,GO
(D1+D2+R) only,3,181,GO
(D1+D2+R) only,4,94600,GO
(D1+D2+R) only,5,136604,GO
(D1+D2+R) only,6,196444,GO
(D1+D2+R) only,7,260244,GO
(D1+D2+R) only,8,291020,GO
(D1+D2+R) only,9,180930,GO
(D1+D2+R) only,10,60493,GO
(D1+D2+R) only,11,9349,GO
(D1+DU) only,1,0,GO
(D1+DU) only,2,0,GO
(D1+DU) only,3,3,GO
(D1+DU) only,4,29,GO
(D1+DU) only,5,35,GO
(D1+DU) only,6,53,GO
(D1+DU) only,7,19,GO
(D1+DU) only,8,18,GO
(D1+DU) only,9,2,GO
(D1+DU) only,10,0,GO
(D1+DU) only,11,0,GO
(D1+R) only,1,0,GO
(D1+R) only,2,2,GO
(D1+R) only,3,2797,GO
(D1+R) only,4,5217,GO
(D1+R) only,5,6000,GO
(D1+R) only,6,6542,GO
(D1+R) only,7,7354,GO
(D1+R) only,8,6727,GO
(D1+R) only,9,4144,GO
(D1+R) only,10,2173,GO
(D1+R) only,11,306,GO
(D2+DU) only,1,0,GO
(D2+DU) only,2,0,GO
(D2+DU) only,3,0,GO
(D2+DU) only,4,74,GO
(D2+DU) only,5,105,GO
(D2+DU) only,6,212,GO
(D2+DU) only,7,36,GO
(D2+DU) only,8,2,GO
(D2+DU) only,9,1,GO
(D2+DU) only,10,0,GO
(D2+DU) only,11,0,GO
(D2+R+DU) only,1,0,GO
(D2+R+DU) only,2,0,GO
(D2+R+DU) only,3,0,GO
(D2+R+DU) only,4,4,GO
(D2+R+DU) only,5,8,GO
(D2+R+DU) only,6,21,GO
(D2+R+DU) only,7,1,GO
(D2+R+DU) only,8,2,GO
(D2+R+DU) only,9,0,GO
(D2+R+DU) only,10,1,GO
(D2+R+DU) only,11,0,GO
(R+DU) only,1,0,GO
(R+DU) only,2,0,GO
(R+DU) only,3,4,GO
(R+DU) only,4,5809,GO
(R+DU) only,5,13093,GO
(R+DU) only,6,35859,GO
(R+DU) only,7,6134,GO
(R+DU) only,8,276,GO
(R+DU) only,9,53,GO
(R+DU) only,10,14,GO
(R+DU) only,11,2,GO
D1 only,1,15,GO
D1 only,2,53420,GO
D1 only,3,198044,GO
D1 only,4,266446,GO
D1 only,5,176505,GO
D1 only,6,114833,GO
D1 only,7,56257,GO
D1 only,8,20038,GO
D1 only,9,7282,GO
D1 only,10,3970,GO
D1 only,11,965,GO
D1+D2+DU+R,1,0,GO
D1+D2+DU+R,2,0,GO
D1+D2+DU+R,3,0,GO
D1+D2+DU+R,4,0,GO
D1+D2+DU+R,5,2,GO
D1+D2+DU+R,6,7,GO
D1+D2+DU+R,7,1,GO
D1+D2+DU+R,8,3,GO
D1+D2+DU+R,9,0,GO
D1+D2+DU+R,10,1,GO
D1+D2+DU+R,11,0,GO
DU only,1,0,GO
DU only,2,1,GO
DU only,3,18,GO
DU only,4,13234,GO
DU only,5,22838,GO
DU only,6,46792,GO
DU only,7,10617,GO
DU only,8,972,GO
DU only,9,210,GO
DU only,10,73,GO
DU only,11,15,GO
R+DU,1,0,GO
R+DU,2,0,GO
R+DU,3,0,GO
R+DU,4,5,GO
R+DU,5,10,GO
R+DU,6,16,GO
R+DU,7,10,GO
R+DU,8,5,GO
R+DU,9,0,GO
R+DU,10,0,GO
R+DU,11,0,GO
(D1+D2) only,1,6,MA
(D1+D2) only,2,366,MA
(D1+D2) only,3,388194,MA
(D1+D2) only,4,668434,MA
(D1+D2) only,5,564408,MA
(D1+D2) only,6,460171,MA
(D1+D2) only,7,328035,MA
(D1+D2) only,8,177090,MA
(D1+D2) only,9,81083,MA
(D1+D2) only,10,39146,MA
(D1+D2) only,11,9508,MA
(D1+D2+DU) only,1,0,MA
(D1+D2+DU) only,2,1,MA
(D1+D2+DU) only,3,2,MA
(D1+D2+DU) only,4,14,MA
(D1+D2+DU) only,5,14,MA
(D1+D2+DU) only,6,11,MA
(D1+D2+DU) only,7,11,MA
(D1+D2+DU) only,8,6,MA
(D1+D2+DU) only,9,6,MA
(D1+D2+DU) only,10,1,MA
(D1+D2+DU) only,11,0,MA
(D1+D2+R) only,1,0,MA
(D1+D2+R) only,2,3,MA
(D1+D2+R) only,3,1148,MA
(D1+D2+R) only,4,90274,MA
(D1+D2+R) only,5,121785,MA
(D1+D2+R) only,6,139063,MA
(D1+D2+R) only,7,151175,MA
(D1+D2+R) only,8,186374,MA
(D1+D2+R) only,9,121842,MA
(D1+D2+R) only,10,46271,MA
(D1+D2+R) only,11,8377,MA
(D1+DU) only,1,0,MA
(D1+DU) only,2,1,MA
(D1+DU) only,3,1,MA
(D1+DU) only,4,36,MA
(D1+DU) only,5,28,MA
(D1+DU) only,6,26,MA
(D1+DU) only,7,12,MA
(D1+DU) only,8,9,MA
(D1+DU) only,9,3,MA
(D1+DU) only,10,1,MA
(D1+DU) only,11,3,MA
(D1+R) only,1,0,MA
(D1+R) only,2,4,MA
(D1+R) only,3,2256,MA
(D1+R) only,4,5924,MA
(D1+R) only,5,6298,MA
(D1+R) only,6,6234,MA
(D1+R) only,7,6532,MA
(D1+R) only,8,7113,MA
(D1+R) only,9,4440,MA
(D1+R) only,10,1924,MA
(D1+R) only,11,385,MA
(D2+DU) only,1,0,MA
(D2+DU) only,2,0,MA
(D2+DU) only,3,0,MA
(D2+DU) only,4,231,MA
(D2+DU) only,5,221,MA
(D2+DU) only,6,130,MA
(D2+DU) only,7,69,MA
(D2+DU) only,8,8,MA
(D2+DU) only,9,1,MA
(D2+DU) only,10,0,MA
(D2+DU) only,11,0,MA
(D2+R+DU) only,1,0,MA
(D2+R+DU) only,2,0,MA
(D2+R+DU) only,3,0,MA
(D2+R+DU) only,4,5,MA
(D2+R+DU) only,5,14,MA
(D2+R+DU) only,6,0,MA
(D2+R+DU) only,7,1,MA
(D2+R+DU) only,8,1,MA
(D2+R+DU) only,9,0,MA
(D2+R+DU) only,10,0,MA
(D2+R+DU) only,11,0,MA
(R+DU) only,1,0,MA
(R+DU) only,2,0,MA
(R+DU) only,3,9,MA
(R+DU) only,4,5683,MA
(R+DU) only,5,8125,MA
(R+DU) only,6,5535,MA
(R+DU) only,7,2992,MA
(R+DU) only,8,317,MA
(R+DU) only,9,73,MA
(R+DU) only,10,43,MA
(R+DU) only,11,14,MA
D1 only,1,31,MA
D1 only,2,42286,MA
D1 only,3,202683,MA
D1 only,4,281317,MA
D1 only,5,177545,MA
D1 only,6,112542,MA
D1 only,7,62052,MA
D1 only,8,27352,MA
D1 only,9,11600,MA
D1 only,10,6645,MA
D1 only,11,1854,MA
D1+D2+DU+R,1,0,MA
D1+D2+DU+R,2,0,MA
D1+D2+DU+R,3,0,MA
D1+D2+DU+R,4,1,MA
D1+D2+DU+R,5,4,MA
D1+D2+DU+R,6,1,MA
D1+D2+DU+R,7,1,MA
D1+D2+DU+R,8,0,MA
D1+D2+DU+R,9,2,MA
D1+D2+DU+R,10,1,MA
D1+D2+DU+R,11,2,MA
DU only,1,0,MA
DU only,2,2,MA
DU only,3,60,MA
DU only,4,29041,MA
DU only,5,28686,MA
DU only,6,19047,MA
DU only,7,9928,MA
DU only,8,1619,MA
DU only,9,445,MA
DU only,10,156,MA
DU only,11,47,MA
R+DU,1,0,MA
R+DU,2,0,MA
R+DU,3,1,MA
R+DU,4,9,MA
R+DU,5,4,MA
R+DU,6,6,MA
R+DU,7,3,MA
R+DU,8,9,MA
R+DU,9,0,MA
R+DU,10,2,MA
R+DU,11,1,MA
(D1+D2) only,1,65,MG
(D1+D2) only,2,657,MG
(D1+D2) only,3,844852,MG
(D1+D2) only,4,2374458,MG
(D1+D2) only,5,1999756,MG
(D1+D2) only,6,1686155,MG
(D1+D2) only,7,1285113,MG
(D1+D2) only,8,684499,MG
(D1+D2) only,9,238897,MG
(D1+D2) only,10,125846,MG
(D1+D2) only,11,27093,MG
(D1+D2+DU) only,1,0,MG
(D1+D2+DU) only,2,0,MG
(D1+D2+DU) only,3,27,MG
(D1+D2+DU) only,4,57,MG
(D1+D2+DU) only,5,67,MG
(D1+D2+DU) only,6,88,MG
(D1+D2+DU) only,7,37,MG
(D1+D2+DU) only,8,22,MG
(D1+D2+DU) only,9,12,MG
(D1+D2+DU) only,10,14,MG
(D1+D2+DU) only,11,3,MG
(D1+D2+R) only,1,7,MG
(D1+D2+R) only,2,22,MG
(D1+D2+R) only,3,692,MG
(D1+D2+R) only,4,347210,MG
(D1+D2+R) only,5,502332,MG
(D1+D2+R) only,6,619614,MG
(D1+D2+R) only,7,907151,MG
(D1+D2+R) only,8,1092915,MG
(D1+D2+R) only,9,717837,MG
(D1+D2+R) only,10,269411,MG
(D1+D2+R) only,11,54086,MG
(D1+DU) only,1,0,MG
(D1+DU) only,2,0,MG
(D1+DU) only,3,159,MG
(D1+DU) only,4,96,MG
(D1+DU) only,5,105,MG
(D1+DU) only,6,124,MG
(D1+DU) only,7,67,MG
(D1+DU) only,8,59,MG
(D1+DU) only,9,12,MG
(D1+DU) only,10,3,MG
(D1+DU) only,11,2,MG
(D1+R) only,1,1,MG
(D1+R) only,2,15,MG
(D1+R) only,3,6781,MG
(D1+R) only,4,17963,MG
(D1+R) only,5,20722,MG
(D1+R) only,6,22245,MG
(D1+R) only,7,29959,MG
(D1+R) only,8,37456,MG
(D1+R) only,9,24166,MG
(D1+R) only,10,11742,MG
(D1+R) only,11,2222,MG
(D2+DU) only,1,0,MG
(D2+DU) only,2,0,MG
(D2+DU) only,3,9,MG
(D2+DU) only,4,2339,MG
(D2+DU) only,5,4101,MG
(D2+DU) only,6,8384,MG
(D2+DU) only,7,257,MG
(D2+DU) only,8,63,MG
(D2+DU) only,9,13,MG
(D2+DU) only,10,1,MG
(D2+DU) only,11,0,MG
(D2+R+DU) only,1,0,MG
(D2+R+DU) only,2,0,MG
(D2+R+DU) only,3,0,MG
(D2+R+DU) only,4,8,MG
(D2+R+DU) only,5,17,MG
(D2+R+DU) only,6,44,MG
(D2+R+DU) only,7,21,MG
(D2+R+DU) only,8,48,MG
(D2+R+DU) only,9,12,MG
(D2+R+DU) only,10,1,MG
(D2+R+DU) only,11,2,MG
(R+DU) only,1,0,MG
(R+DU) only,2,2,MG
(R+DU) only,3,12,MG
(R+DU) only,4,16061,MG
(R+DU) only,5,47305,MG
(R+DU) only,6,109829,MG
(R+DU) only,7,46040,MG
(R+DU) only,8,599,MG
(R+DU) only,9,88,MG
(R+DU) only,10,33,MG
(R+DU) only,11,6,MG
D1 only,1,116,MG
D1 only,2,222364,MG
D1 only,3,539714,MG
D1 only,4,719231,MG
D1 only,5,445915,MG
D1 only,6,304920,MG
D1 only,7,181734,MG
D1 only,8,83495,MG
D1 only,9,26783,MG
D1 only,10,20203,MG
D1 only,11,4428,MG
D1+D2+DU+R,1,0,MG
D1+D2+DU+R,2,0,MG
D1+D2+DU+R,3,1,MG
D1+D2+DU+R,4,3,MG
D1+D2+DU+R,5,15,MG
D1+D2+DU+R,6,22,MG
D1+D2+DU+R,7,13,MG
D1+D2+DU+R,8,7,MG
D1+D2+DU+R,9,6,MG
D1+D2+DU+R,10,16,MG
D1+D2+DU+R,11,5,MG
DU only,1,3,MG
DU only,2,15,MG
DU only,3,86,MG
DU only,4,33966,MG
DU only,5,63648,MG
DU only,6,115392,MG
DU only,7,43908,MG
DU only,8,1836,MG
DU only,9,321,MG
DU only,10,100,MG
DU only,11,32,MG
R+DU,1,0,MG
R+DU,2,0,MG
R+DU,3,0,MG
R+DU,4,12,MG
R+DU,5,29,MG
R+DU,6,45,MG
R+DU,7,31,MG
R+DU,8,60,MG
R+DU,9,26,MG
R+DU,10,3,MG
R+DU,11,0,MG
(D1+D2) only,1,13,MS
(D1+D2) only,2,130,MS
(D1+D2) only,3,165189,MS
(D1+D2) only,4,265197,MS
(D1+D2) only,5,200517,MS
(D1+D2) only,6,167907,MS
(D1+D2) only,7,136949,MS
(D1+D2) only,8,54727,MS
(D1+D2) only,9,22616,MS
(D1+D2) only,10,10416,MS
(D1+D2) only,11,2437,MS
(D1+D2+DU) only,1,0,MS
(D1+D2+DU) only,2,0,MS
(D1+D2+DU) only,3,671,MS
(D1+D2+DU) only,4,34870,MS
(D1+D2+DU) only,5,45485,MS
(D1+D2+DU) only,6,49639,MS
(D1+D2+DU) only,7,59737,MS
(D1+D2+DU) only,8,62899,MS
(D1+D2+DU) only,9,35164,MS
(D1+D2+DU) only,10,13305,MS
(D1+D2+DU) only,11,2433,MS
(D1+D2+R) only,1,0,MS
(D1+D2+R) only,2,1,MS
(D1+D2+R) only,3,1031,MS
(D1+D2+R) only,4,48473,MS
(D1+D2+R) only,5,59052,MS
(D1+D2+R) only,6,73554,MS
(D1+D2+R) only,7,82384,MS
(D1+D2+R) only,8,85957,MS
(D1+D2+R) only,9,45755,MS
(D1+D2+R) only,10,16368,MS
(D1+D2+R) only,11,2685,MS
(D1+DU) only,1,0,MS
(D1+DU) only,2,0,MS
(D1+DU) only,3,3,MS
(D1+DU) only,4,3427,MS
(D1+DU) only,5,7346,MS
(D1+DU) only,6,13033,MS
(D1+DU) only,7,1413,MS
(D1+DU) only,8,519,MS
(D1+DU) only,9,182,MS
(D1+DU) only,10,81,MS
(D1+DU) only,11,22,MS
(D1+R) only,1,0,MS
(D1+R) only,2,1,MS
(D1+R) only,3,448,MS
(D1+R) only,4,1922,MS
(D1+R) only,5,1815,MS
(D1+R) only,6,2101,MS
(D1+R) only,7,2191,MS
(D1+R) only,8,2735,MS
(D1+R) only,9,1662,MS
(D1+R) only,10,601,MS
(D1+R) only,11,84,MS
(D2+DU) only,1,0,MS
(D2+DU) only,2,0,MS
(D2+DU) only,3,13,MS
(D2+DU) only,4,531,MS
(D2+DU) only,5,498,MS
(D2+DU) only,6,835,MS
(D2+DU) only,7,588,MS
(D2+DU) only,8,435,MS
(D2+DU) only,9,138,MS
(D2+DU) only,10,68,MS
(D2+DU) only,11,22,MS
(D2+R+DU) only,1,0,MS
(D2+R+DU) only,2,0,MS
(D2+R+DU) only,3,2,MS
(D2+R+DU) only,4,10,MS
(D2+R+DU) only,5,13,MS
(D2+R+DU) only,6,6,MS
(D2+R+DU) only,7,2,MS
(D2+R+DU) only,8,0,MS
(D2+R+DU) only,9,1,MS
(D2+R+DU) only,10,0,MS
(D2+R+DU) only,11,0,MS
(R+DU) only,1,0,MS
(R+DU) only,2,0,MS
(R+DU) only,3,35,MS
(R+DU) only,4,20519,MS
(R+DU) only,5,22713,MS
(R+DU) only,6,12874,MS
(R+DU) only,7,3062,MS
(R+DU) only,8,493,MS
(R+DU) only,9,124,MS
(R+DU) only,10,27,MS
(R+DU) only,11,4,MS
D1 only,1,12,MS
D1 only,2,13919,MS
D1 only,3,60495,MS
D1 only,4,84724,MS
D1 only,5,52141,MS
D1 only,6,39614,MS
D1 only,7,20180,MS
D1 only,8,8248,MS
D1 only,9,3424,MS
D1 only,10,1556,MS
D1 only,11,387,MS
D1+D2+DU+R,1,0,MS
D1+D2+DU+R,2,0,MS
D1+D2+DU+R,3,0,MS
D1+D2+DU+R,4,7,MS
D1+D2+DU+R,5,12,MS
D1+D2+DU+R,6,15,MS
D1+D2+DU+R,7,22,MS
D1+D2+DU+R,8,93,MS
D1+D2+DU+R,9,26,MS
D1+D2+DU+R,10,12,MS
D1+D2+DU+R,11,2,MS
DU only,1,3,MS
DU only,2,1,MS
DU only,3,79,MS
DU only,4,49661,MS
DU only,5,42508,MS
DU only,6,21368,MS
DU only,7,7925,MS
DU only,8,2590,MS
DU only,9,1110,MS
DU only,10,369,MS
DU only,11,80,MS
R+DU,1,0,MS
R+DU,2,0,MS
R+DU,3,0,MS
R+DU,4,8,MS
R+DU,5,13,MS
R+DU,6,10,MS
R+DU,7,7,MS
R+DU,8,3,MS
R+DU,9,1,MS
R+DU,10,2,MS
R+DU,11,0,MS
(D1+D2) only,1,1,MT
(D1+D2) only,2,56,MT
(D1+D2) only,3,143667,MT
(D1+D2) only,4,421489,MT
(D1+D2) only,5,366975,MT
(D1+D2) only,6,301723,MT
(D1+D2) only,7,219271,MT
(D1+D2) only,8,111697,MT
(D1+D2) only,9,35675,MT
(D1+D2) only,10,13843,MT
(D1+D2) only,11,2621,MT
(D1+D2+DU) only,1,0,MT
(D1+D2+DU) only,2,0,MT
(D1+D2+DU) only,3,1,MT
(D1+D2+DU) only,4,134,MT
(D1+D2+DU) only,5,236,MT
(D1+D2+DU) only,6,269,MT
(D1+D2+DU) only,7,316,MT
(D1+D2+DU) only,8,222,MT
(D1+D2+DU) only,9,338,MT
(D1+D2+DU) only,10,88,MT
(D1+D2+DU) only,11,7,MT
(D1+D2+R) only,1,0,MT
(D1+D2+R) only,2,0,MT
(D1+D2+R) only,3,103,MT
(D1+D2+R) only,4,42603,MT
(D1+D2+R) only,5,61619,MT
(D1+D2+R) only,6,77053,MT
(D1+D2+R) only,7,94744,MT
(D1+D2+R) only,8,106653,MT
(D1+D2+R) only,9,67420,MT
(D1+D2+R) only,10,21675,MT
(D1+D2+R) only,11,3183,MT
(D1+DU) only,1,0,MT
(D1+DU) only,2,0,MT
(D1+DU) only,3,6,MT
(D1+DU) only,4,30,MT
(D1+DU) only,5,39,MT
(D1+DU) only,6,51,MT
(D1+DU) only,7,29,MT
(D1+DU) only,8,20,MT
(D1+DU) only,9,8,MT
(D1+DU) only,10,2,MT
(D1+DU) only,11,0,MT
(D1+R) only,1,0,MT
(D1+R) only,2,0,MT
(D1+R) only,3,1047,MT
(D1+R) only,4,2256,MT
(D1+R) only,5,2329,MT
(D1+R) only,6,2400,MT
(D1+R) only,7,2562,MT
(D1+R) only,8,3195,MT
(D1+R) only,9,1921,MT
(D1+R) only,10,855,MT
(D1+R) only,11,98,MT
(D2+DU) only,1,0,MT
(D2+DU) only,2,0,MT
(D2+DU) only,3,0,MT
(D2+DU) only,4,69,MT
(D2+DU) only,5,103,MT
(D2+DU) only,6,162,MT
(D2+DU) only,7,83,MT
(D2+DU) only,8,11,MT
(D2+DU) only,9,3,MT
(D2+DU) only,10,0,MT
(D2+DU) only,11,0,MT
(D2+R+DU) only,1,0,MT
(D2+R+DU) only,2,0,MT
(D2+R+DU) only,3,0,MT
(D2+R+DU) only,4,2,MT
(D2+R+DU) only,5,6,MT
(D2+R+DU) only,6,4,MT
(D2+R+DU) only,7,0,MT
(D2+R+DU) only,8,0,MT
(D2+R+DU) only,9,0,MT
(D2+R+DU) only,10,0,MT
(D2+R+DU) only,11,0,MT
(R+DU) only,1,1,MT
(R+DU) only,2,0,MT
(R+DU) only,3,6,MT
(R+DU) only,4,4876,MT
(R+DU) only,5,7294,MT
(R+DU) only,6,11190,MT
(R+DU) only,7,5301,MT
(R+DU) only,8,181,MT
(R+DU) only,9,33,MT
(R+DU) only,10,7,MT
(R+DU) only,11,0,MT
D1 only,1,19,MT
D1 only,2,24539,MT
D1 only,3,108073,MT
D1 only,4,153586,MT
D1 only,5,93215,MT
D1 only,6,57099,MT
D1 only,7,30911,MT
D1 only,8,12878,MT
D1 only,9,4318,MT
D1 only,10,2334,MT
D1 only,11,443,MT
D1+D2+DU+R,1,0,MT
D1+D2+DU+R,2,0,MT
D1+D2+DU+R,3,0,MT
D1+D2+DU+R,4,0,MT
D1+D2+DU+R,5,3,MT
D1+D2+DU+R,6,3,MT
D1+D2+DU+R,7,0,MT
D1+D2+DU+R,8,0,MT
D1+D2+DU+R,9,4,MT
D1+D2+DU+R,10,9,MT
D1+D2+DU+R,11,4,MT
DU only,1,0,MT
DU only,2,0,MT
DU only,3,22,MT
DU only,4,9688,MT
DU only,5,16379,MT
DU only,6,24288,MT
DU only,7,11834,MT
DU only,8,994,MT
DU only,9,204,MT
DU only,10,43,MT
DU only,11,10,MT
R+DU,1,0,MT
R+DU,2,0,MT
R+DU,3,0,MT
R+DU,4,3,MT
R+DU,5,8,MT
R+DU,6,8,MT
R+DU,7,15,MT
R+DU,8,5,MT
R+DU,9,1,MT
R+DU,10,0,MT
R+DU,11,0,MT
(D1+D2) only,1,6,PA
(D1+D2) only,2,2628,PA
(D1+D2) only,3,416772,PA
(D1+D2) only,4,919913,PA
(D1+D2) only,5,713760,PA
(D1+D2) only,6,578308,PA
(D1+D2) only,7,395298,PA
(D1+D2) only,8,193233,PA
(D1+D2) only,9,98889,PA
(D1+D2) only,10,42020,PA
(D1+D2) only,11,9015,PA
(D1+D2+DU) only,1,0,PA
(D1+D2+DU) only,2,1,PA
(D1+D2+DU) only,3,146,PA
(D1+D2+DU) only,4,28,PA
(D1+D2+DU) only,5,58,PA
(D1+D2+DU) only,6,35,PA
(D1+D2+DU) only,7,38,PA
(D1+D2+DU) only,8,17,PA
(D1+D2+DU) only,9,12,PA
(D1+D2+DU) only,10,1,PA
(D1+D2+DU) only,11,0,PA
(D1+D2+R) only,1,0,PA
(D1+D2+R) only,2,5,PA
(D1+D2+R) only,3,1021,PA
(D1+D2+R) only,4,89974,PA
(D1+D2+R) only,5,121586,PA
(D1+D2+R) only,6,145253,PA
(D1+D2+R) only,7,158730,PA
(D1+D2+R) only,8,215296,PA
(D1+D2+R) only,9,105684,PA
(D1+D2+R) only,10,33776,PA
(D1+D2+R) only,11,5791,PA
(D1+DU) only,1,0,PA
(D1+DU) only,2,0,PA
(D1+DU) only,3,28,PA
(D1+DU) only,4,34,PA
(D1+DU) only,5,50,PA
(D1+DU) only,6,30,PA
(D1+DU) only,7,37,PA
(D1+DU) only,8,29,PA
(D1+DU) only,9,5,PA
(D1+DU) only,10,0,PA
(D1+DU) only,11,0,PA
(D1+R) only,1,1,PA
(D1+R) only,2,15,PA
(D1+R) only,3,1663,PA
(D1+R) only,4,6095,PA
(D1+R) only,5,6908,PA
(D1+R) only,6,7399,PA
(D1+R) only,7,8543,PA
(D1+R) only,8,9373,PA
(D1+R) only,9,5272,PA
(D1+R) only,10,1857,PA
(D1+R) only,11,308,PA
(D2+DU) only,1,0,PA
(D2+DU) only,2,0,PA
(D2+DU) only,3,10,PA
(D2+DU) only,4,209,PA
(D2+DU) only,5,235,PA
(D2+DU) only,6,192,PA
(D2+DU) only,7,77,PA
(D2+DU) only,8,14,PA
(D2+DU) only,9,3,PA
(D2+DU) only,10,1,PA
(D2+DU) only,11,1,PA
(D2+R+DU) only,1,0,PA
(D2+R+DU) only,2,0,PA
(D2+R+DU) only,3,0,PA
(D2+R+DU) only,4,4,PA
(D2+R+DU) only,5,18,PA
(D2+R+DU) only,6,11,PA
(D2+R+DU) only,7,1,PA
(D2+R+DU) only,8,0,PA
(D2+R+DU) only,9,0,PA
(D2+R+DU) only,10,0,PA
(D2+R+DU) only,11,0,PA
(R+DU) only,1,0,PA
(R+DU) only,2,0,PA
(R+DU) only,3,13,PA
(R+DU) only,4,4607,PA
(R+DU) only,5,7661,PA
(R+DU) only,6,8901,PA
(R+DU) only,7,2453,PA
(R+DU) only,8,169,PA
(R+DU) only,9,56,PA
(R+DU) only,10,15,PA
(R+DU) only,11,2,PA
D1 only,1,31,PA
D1 only,2,54108,PA
D1 only,3,264180,PA
D1 only,4,386884,PA
