month,agegroup,dose,n,first_dose,UF
2022-07-01,10,D1,1,Janssen,AC
2022-07-01,11,D1,0,Janssen,AC
2021-02-01,2,D1,31,Other,AC
2021-02-01,3,D1,19,Other,AC
2021-02-01,4,D1,2622,Other,AC
2021-02-01,5,D1,3308,Other,AC
2021-02-01,6,D1,2866,Other,AC
2021-02-01,7,D1,1580,Other,AC
2021-02-01,8,D1,542,Other,AC
2021-02-01,9,D1,210,Other,AC
2021-02-01,10,D1,162,Other,AC
2021-02-01,11,D1,62,Other,AC
2021-03-01,2,D1,14,Other,AC
2021-03-01,3,D1,10,Other,AC
2021-03-01,4,D1,-43,Other,AC
2021-03-01,5,D1,-91,Other,AC
2021-03-01,6,D1,-142,Other,AC
2021-03-01,7,D1,-94,Other,AC
2021-03-01,8,D1,21,Other,AC
2021-03-01,9,D1,3600,Other,AC
2021-03-01,10,D1,3171,Other,AC
2021-03-01,11,D1,1000,Other,AC
2021-04-01,2,D1,5,Other,AC
2021-04-01,3,D1,11,Other,AC
2021-04-01,4,D1,1449,Other,AC
2021-04-01,5,D1,987,Other,AC
2021-04-01,6,D1,863,Other,AC
2021-04-01,7,D1,523,Other,AC
2021-04-01,8,D1,17068,Other,AC
2021-04-01,9,D1,12658,Other,AC
2021-04-01,10,D1,1200,Other,AC
2021-04-01,11,D1,-610,Other,AC
2021-05-01,2,D1,2,Other,AC
2021-05-01,3,D1,8,Other,AC
2021-05-01,4,D1,1202,Other,AC
2021-05-01,5,D1,1748,Other,AC
2021-05-01,6,D1,2248,Other,AC
2021-05-01,7,D1,1730,Other,AC
2021-05-01,8,D1,6910,Other,AC
2021-05-01,9,D1,-4436,Other,AC
2021-05-01,10,D1,-281,Other,AC
2021-05-01,11,D1,-27,Other,AC
2021-06-01,2,D1,1,Other,AC
2021-06-01,3,D1,32,Other,AC
2021-06-01,4,D1,3671,Other,AC
2021-06-01,5,D1,6034,Other,AC
2021-06-01,6,D1,10125,Other,AC
2021-06-01,7,D1,15241,Other,AC
2021-06-01,8,D1,-2175,Other,AC
2021-06-01,9,D1,-3662,Other,AC
2021-06-01,10,D1,-1611,Other,AC
2021-06-01,11,D1,-57,Other,AC
2021-07-01,2,D1,2,Other,AC
2021-07-01,3,D1,57,Other,AC
2021-07-01,4,D1,16082,Other,AC
2021-07-01,5,D1,39098,Other,AC
2021-07-01,6,D1,48791,Other,AC
2021-07-01,7,D1,27565,Other,AC
2021-07-01,8,D1,-8828,Other,AC
2021-07-01,9,D1,-5262,Other,AC
2021-07-01,10,D1,-1578,Other,AC
2021-07-01,11,D1,-109,Other,AC
2021-08-01,2,D1,16,Other,AC
2021-08-01,3,D1,3888,Other,AC
2021-08-01,4,D1,62743,Other,AC
2021-08-01,5,D1,21741,Other,AC
2021-08-01,6,D1,951,Other,AC
2021-08-01,7,D1,-5278,Other,AC
2021-08-01,8,D1,-5822,Other,AC
2021-08-01,9,D1,-653,Other,AC
2021-08-01,10,D1,-147,Other,AC
2021-08-01,11,D1,-24,Other,AC
2021-09-01,2,D1,110,Other,AC
2021-09-01,3,D1,52207,Other,AC
2021-09-01,4,D1,13161,Other,AC
2021-09-01,5,D1,-10153,Other,AC
2021-09-01,6,D1,-18930,Other,AC
2021-09-01,7,D1,-15062,Other,AC
2021-09-01,8,D1,-1502,Other,AC
2021-09-01,9,D1,-177,Other,AC
2021-09-01,10,D1,-9,Other,AC
2021-09-01,11,D1,2,Other,AC
2021-10-01,2,D1,17,Other,AC
2021-10-01,3,D1,254,Other,AC
2021-10-01,4,D1,-12766,Other,AC
2021-10-01,5,D1,-16941,Other,AC
2021-10-01,6,D1,-17822,Other,AC
2021-10-01,7,D1,-11220,Other,AC
2021-10-01,8,D1,-1034,Other,AC
2021-10-01,9,D1,-179,Other,AC
2021-10-01,10,D1,-43,Other,AC
2021-10-01,11,D1,-4,Other,AC
2021-11-01,2,D1,9,Other,AC
2021-11-01,3,D1,-10587,Other,AC
2021-11-01,4,D1,-19690,Other,AC
2021-11-01,5,D1,-10895,Other,AC
2021-11-01,6,D1,-6445,Other,AC
2021-11-01,7,D1,-3008,Other,AC
2021-11-01,8,D1,-492,Other,AC
2021-11-01,9,D1,-57,Other,AC
2021-11-01,10,D1,-8,Other,AC
2021-11-01,11,D1,-16,Other,AC
2021-12-01,2,D1,4,Other,AC
2021-12-01,3,D1,-10630,Other,AC
2021-12-01,4,D1,-13572,Other,AC
2021-12-01,5,D1,-6099,Other,AC
2021-12-01,6,D1,-3629,Other,AC
2021-12-01,7,D1,-1779,Other,AC
2021-12-01,8,D1,-446,Other,AC
2021-12-01,9,D1,-184,Other,AC
2021-12-01,10,D1,-52,Other,AC
2021-12-01,11,D1,-13,Other,AC
2022-01-01,2,D1,-3,Other,AC
2022-01-01,3,D1,-5666,Other,AC
2022-01-01,4,D1,-7252,Other,AC
2022-01-01,5,D1,-3463,Other,AC
2022-01-01,6,D1,-2049,Other,AC
2022-01-01,7,D1,-1004,Other,AC
2022-01-01,8,D1,-244,Other,AC
2022-01-01,9,D1,-61,Other,AC
2022-01-01,10,D1,-28,Other,AC
2022-01-01,11,D1,2,Other,AC
2022-02-01,2,D1,9766,Other,AC
2022-02-01,3,D1,-1787,Other,AC
2022-02-01,4,D1,-4047,Other,AC
2022-02-01,5,D1,-2071,Other,AC
2022-02-01,6,D1,-1476,Other,AC
2022-02-01,7,D1,-730,Other,AC
2022-02-01,8,D1,-185,Other,AC
2022-02-01,9,D1,-53,Other,AC
2022-02-01,10,D1,-12,Other,AC
2022-02-01,11,D1,1,Other,AC
2022-03-01,2,D1,17969,Other,AC
2022-03-01,3,D1,-1104,Other,AC
2022-03-01,4,D1,-2686,Other,AC
2022-03-01,5,D1,-1456,Other,AC
2022-03-01,6,D1,-922,Other,AC
2022-03-01,7,D1,-446,Other,AC
2022-03-01,8,D1,-114,Other,AC
2022-03-01,9,D1,-58,Other,AC
2022-03-01,10,D1,-22,Other,AC
2022-03-01,11,D1,-1,Other,AC
2022-04-01,2,D1,7464,Other,AC
2022-04-01,3,D1,-943,Other,AC
2022-04-01,4,D1,-1942,Other,AC
2022-04-01,5,D1,-993,Other,AC
2022-04-01,6,D1,-682,Other,AC
2022-04-01,7,D1,-360,Other,AC
2022-04-01,8,D1,-108,Other,AC
2022-04-01,9,D1,-37,Other,AC
2022-04-01,10,D1,-9,Other,AC
2022-04-01,11,D1,-9,Other,AC
2022-05-01,2,D1,-942,Other,AC
2022-05-01,3,D1,-770,Other,AC
2022-05-01,4,D1,-816,Other,AC
2022-05-01,5,D1,-521,Other,AC
2022-05-01,6,D1,-297,Other,AC
2022-05-01,7,D1,-167,Other,AC
2022-05-01,8,D1,-57,Other,AC
2022-05-01,9,D1,-14,Other,AC
2022-05-01,10,D1,-9,Other,AC
2022-05-01,11,D1,2,Other,AC
2022-06-01,2,D1,-1556,Other,AC
2022-06-01,3,D1,-459,Other,AC
2022-06-01,4,D1,-719,Other,AC
2022-06-01,5,D1,-317,Other,AC
2022-06-01,6,D1,-223,Other,AC
2022-06-01,7,D1,-109,Other,AC
2022-06-01,8,D1,-40,Other,AC
2022-06-01,9,D1,0,Other,AC
2022-06-01,10,D1,-1,Other,AC
2022-06-01,11,D1,-2,Other,AC
2022-07-01,2,D1,-512,Other,AC
2022-07-01,3,D1,-147,Other,AC
2022-07-01,4,D1,-222,Other,AC
2022-07-01,5,D1,-104,Other,AC
2022-07-01,6,D1,-69,Other,AC
2022-07-01,7,D1,-34,Other,AC
2022-07-01,8,D1,-10,Other,AC
2022-07-01,9,D1,8,Other,AC
2022-07-01,10,D1,6,Other,AC
2022-07-01,11,D1,3,Other,AC
2021-02-01,2,D2,0,Janssen,AC
2021-02-01,3,D2,0,Janssen,AC
2021-02-01,4,D2,0,Janssen,AC
