week,agegroup,dose,n,UF
2021-02-06,2,D2cum,0,AC
2021-02-06,3,D2cum,1,AC
2021-02-06,4,D2cum,32,AC
2021-02-06,5,D2cum,11,AC
2021-02-06,6,D2cum,26,AC
2021-02-06,7,D2cum,20,AC
2021-02-06,8,D2cum,3,AC
2021-02-06,9,D2cum,7,AC
2021-02-06,10,D2cum,6,AC
2021-02-06,11,D2cum,1,AC
2021-02-06,2,D1cum,7,AC
2021-02-06,3,D1cum,20,AC
2021-02-06,4,D1cum,3375,AC
2021-02-06,5,D1cum,4253,AC
2021-02-06,6,D1cum,3684,AC
2021-02-06,7,D1cum,1970,AC
2021-02-06,8,D1cum,705,AC
2021-02-06,9,D1cum,331,AC
2021-02-06,10,D1cum,414,AC
2021-02-06,11,D1cum,237,AC
2021-02-06,2,D,0,AC
2021-02-06,3,D,0,AC
2021-02-06,4,D,0,AC
2021-02-06,5,D,0,AC
2021-02-06,6,D,0,AC
2021-02-06,7,D,0,AC
2021-02-06,8,D,0,AC
2021-02-06,9,D,0,AC
2021-02-06,10,D,0,AC
2021-02-06,11,D,0,AC
2021-02-06,2,D2,0,AC
2021-02-06,3,D2,1,AC
2021-02-06,4,D2,31,AC
2021-02-06,5,D2,11,AC
2021-02-06,6,D2,23,AC
2021-02-06,7,D2,18,AC
2021-02-06,8,D2,3,AC
2021-02-06,9,D2,7,AC
2021-02-06,10,D2,6,AC
2021-02-06,11,D2,1,AC
2021-02-06,2,D1,1,AC
2021-02-06,3,D1,5,AC
2021-02-06,4,D1,781,AC
2021-02-06,5,D1,933,AC
2021-02-06,6,D1,820,AC
2021-02-06,7,D1,381,AC
2021-02-06,8,D1,147,AC
2021-02-06,9,D1,119,AC
2021-02-06,10,D1,240,AC
2021-02-06,11,D1,175,AC
2021-02-13,2,Dcum,0,AC
2021-02-13,3,Dcum,0,AC
2021-02-13,4,Dcum,0,AC
2021-02-13,5,Dcum,0,AC
2021-02-13,6,Dcum,0,AC
2021-02-13,7,Dcum,0,AC
2021-02-13,8,Dcum,0,AC
2021-02-13,9,Dcum,0,AC
2021-02-13,10,Dcum,0,AC
2021-02-13,11,Dcum,0,AC
2021-02-13,2,D2cum,0,AC
2021-02-13,3,D2cum,1,AC
2021-02-13,4,D2cum,175,AC
2021-02-13,5,D2cum,182,AC
2021-02-13,6,D2cum,173,AC
2021-02-13,7,D2cum,122,AC
2021-02-13,8,D2cum,37,AC
2021-02-13,9,D2cum,31,AC
2021-02-13,10,D2cum,15,AC
2021-02-13,11,D2cum,1,AC
2021-02-13,2,D1cum,10,AC
2021-02-13,3,D1cum,24,AC
2021-02-13,4,D1cum,3699,AC
2021-02-13,5,D1cum,4787,AC
2021-02-13,6,D1cum,4171,AC
2021-02-13,7,D1cum,2302,AC
2021-02-13,8,D1cum,814,AC
2021-02-13,9,D1cum,384,AC
2021-02-13,10,D1cum,767,AC
2021-02-13,11,D1cum,850,AC
2021-02-13,2,D,0,AC
2021-02-13,3,D,0,AC
2021-02-13,4,D,0,AC
2021-02-13,5,D,0,AC
2021-02-13,6,D,0,AC
