vacina,agegroup,agegroup_10,data,doses,n
AZ,1,1,2021-10-06,D2,1
AZ,1,1,2021-10-06,DU,0
AZ,1,1,2021-10-06,R,0
AZ,1,1,2021-10-19,D1,0
AZ,1,1,2021-10-19,D2,1
AZ,1,1,2021-10-19,DU,0
AZ,1,1,2021-10-19,R,0
AZ,1,1,2021-10-20,D1,0
AZ,1,1,2021-10-20,D2,1
AZ,1,1,2021-10-20,DU,0
AZ,1,1,2021-10-20,R,0
AZ,1,1,2021-11-10,D1,0
AZ,1,1,2021-11-10,D2,1
AZ,1,1,2021-11-10,DU,0
AZ,1,1,2021-11-10,R,0
AZ,1,1,2022-01-07,D1,1
AZ,1,1,2022-01-07,D2,0
AZ,1,1,2022-01-07,DU,0
AZ,1,1,2022-01-07,R,0
AZ,1,1,2022-01-11,D1,0
AZ,1,1,2022-01-11,D2,0
AZ,1,1,2022-01-11,DU,0
AZ,1,1,2022-01-11,R,1
AZ,1,2,,D1,0
AZ,1,2,,D2,0
AZ,1,2,,DU,0
AZ,1,2,,R,0
AZ,1,3,,D1,0
AZ,1,3,,D2,0
AZ,1,3,,DU,0
AZ,1,3,,R,0
AZ,1,4,,D1,0
AZ,1,4,,D2,0
AZ,1,4,,DU,0
AZ,1,4,,R,0
AZ,1,5,,D1,0
AZ,1,5,,D2,0
AZ,1,5,,DU,0
AZ,1,5,,R,0
AZ,1,6,,D1,0
AZ,1,6,,D2,0
AZ,1,6,,DU,0
AZ,1,6,,R,0
AZ,1,7,,D1,0
AZ,1,7,,D2,0
AZ,1,7,,DU,0
AZ,1,7,,R,0
AZ,1,8,,D1,0
AZ,1,8,,D2,0
AZ,1,8,,DU,0
AZ,1,8,,R,0
AZ,1,9,,D1,0
AZ,1,9,,D2,0
AZ,1,9,,DU,0
AZ,1,9,,R,0
AZ,1,10,,D1,0
AZ,1,10,,D2,0
AZ,1,10,,DU,0
AZ,1,10,,R,0
AZ,1,11,,D1,0
AZ,1,11,,D2,0
AZ,1,11,,DU,0
AZ,1,11,,R,0
AZ,2,1,,D1,0
AZ,2,1,,D2,0
AZ,2,1,,DU,0
AZ,2,1,,R,0
AZ,2,2,2021-01-27,D1,2
AZ,2,2,2021-01-27,D2,0
AZ,2,2,2021-01-27,DU,0
AZ,2,2,2021-01-27,R,0
AZ,2,2,2021-01-28,D1,1
AZ,2,2,2021-01-28,D2,0
AZ,2,2,2021-01-28,DU,0
AZ,2,2,2021-01-28,R,0
AZ,2,2,2021-01-29,D1,7
AZ,2,2,2021-01-29,D2,0
AZ,2,2,2021-01-29,DU,0
AZ,2,2,2021-01-29,R,0
AZ,2,2,2021-01-30,D1,1
AZ,2,2,2021-01-30,D2,0
AZ,2,2,2021-01-30,DU,0
AZ,2,2,2021-01-30,R,0
AZ,2,2,2021-02-01,D1,3
AZ,2,2,2021-02-01,D2,0
AZ,2,2,2021-02-01,DU,0
AZ,2,2,2021-02-01,R,0
AZ,2,2,2021-02-03,D1,3
AZ,2,2,2021-02-03,D2,0
AZ,2,2,2021-02-03,DU,0
AZ,2,2,2021-02-03,R,0
AZ,2,2,2021-02-04,D1,5
AZ,2,2,2021-02-04,D2,0
AZ,2,2,2021-02-04,DU,0
AZ,2,2,2021-02-04,R,0
AZ,2,2,2021-02-10,D1,1
AZ,2,2,2021-02-10,D2,0
AZ,2,2,2021-02-10,DU,0
AZ,2,2,2021-02-10,R,0
AZ,2,2,2021-02-27,D1,1
AZ,2,2,2021-02-27,D2,0
AZ,2,2,2021-02-27,DU,0
AZ,2,2,2021-02-27,R,0
AZ,2,2,2021-02-28,D1,1
AZ,2,2,2021-02-28,D2,0
AZ,2,2,2021-02-28,DU,0
AZ,2,2,2021-02-28,R,0
AZ,2,2,2021-03-03,D1,3
AZ,2,2,2021-03-03,D2,0
AZ,2,2,2021-03-03,DU,0
AZ,2,2,2021-03-03,R,0
AZ,2,2,2021-03-15,D1,1
AZ,2,2,2021-03-15,D2,0
AZ,2,2,2021-03-15,DU,0
AZ,2,2,2021-03-15,R,0
AZ,2,2,2021-04-07,D1,1
AZ,2,2,2021-04-07,D2,0
AZ,2,2,2021-04-07,DU,0
AZ,2,2,2021-04-07,R,0
AZ,2,2,2021-04-11,D1,2
AZ,2,2,2021-04-11,D2,0
AZ,2,2,2021-04-11,DU,0
AZ,2,2,2021-04-11,R,0
AZ,2,2,2021-04-12,D1,1
AZ,2,2,2021-04-12,D2,0
AZ,2,2,2021-04-12,DU,0
AZ,2,2,2021-04-12,R,0
AZ,2,2,2021-04-13,D1,1
AZ,2,2,2021-04-13,D2,0
AZ,2,2,2021-04-13,DU,0
AZ,2,2,2021-04-13,R,0
